sent_idx	tok_idx	pos	dep
0	0	INTJ	nmod
0	1	PROPN	compound
0	2	PROPN	compound
0	3	PROPN	compound
0	4	PROPN	ROOT
0	5	ADP	prep
0	6	DET	det
0	7	PROPN	compound
0	8	PROPN	pobj
0	9	PUNCT	punct
1	0	PROPN	dep
1	1	ADP	prep
1	2	DET	det
1	3	NOUN	pobj
1	4	ADP	prep
1	5	DET	det
1	6	PROPN	pobj
1	7	ADP	prep
1	8	PROPN	compound
1	9	PROPN	pobj
1	10	PUNCT	punct
1	11	ADP	prep
1	12	DET	det
1	13	ADJ	amod
1	14	NOUN	pobj
1	15	ADP	prep
1	16	DET	det
1	17	NOUN	pobj
1	18	ADP	prep
1	19	DET	det
1	20	VERB	amod
1	21	ADJ	amod
1	22	NOUN	pobj
1	23	PUNCT	punct
1	24	PRON	nsubjpass
1	25	AUX	auxpass
1	26	VERB	ROOT
1	27	SCONJ	prep
1	28	PART	aux
1	29	VERB	xcomp
1	30	ADP	prep
1	31	DET	det
1	32	ADJ	amod
1	33	PROPN	pobj
1	34	ADP	prep
1	35	DET	det
1	36	PROPN	compound
1	37	PROPN	pobj
1	38	ADP	prep
1	39	PROPN	pobj
1	40	PUNCT	punct
2	0	DET	det
2	1	NOUN	nsubj
2	2	VERB	ROOT
2	3	PRON	poss
2	4	ADJ	amod
2	5	NOUN	dobj
2	6	PUNCT	punct
2	7	VERB	advcl
2	8	ADP	prep
2	9	PRON	poss
2	10	NOUN	pobj
2	11	PRON	dobj
2	12	ADJ	amod
2	13	ADP	prep
2	14	DET	det
2	15	NOUN	pobj
2	16	ADP	prep
2	17	DET	det
2	18	PROPN	pobj
2	19	PUNCT	punct
2	20	DET	det
2	21	NOUN	conj
2	22	CCONJ	cc
2	23	NOUN	conj
2	24	ADP	prep
2	25	DET	det
2	26	NOUN	pobj
2	27	ADP	prep
2	28	PRON	pobj
2	29	PRON	nsubjpass
2	30	AUX	auxpass
2	31	VERB	relcl
2	32	PUNCT	punct
2	33	DET	det
2	34	NOUN	conj
2	35	ADP	prep
2	36	DET	det
2	37	NOUN	pobj
2	38	ADP	prep
2	39	ADJ	amod
2	40	NOUN	pobj
2	41	DET	det
2	42	ADV	advmod
2	43	ADJ	amod
2	44	ADP	prep
2	45	DET	det
2	46	NOUN	pobj
2	47	PUNCT	punct
3	0	PRON	nsubjpass
3	1	AUX	aux
3	2	AUX	auxpass
3	3	ADV	advmod
3	4	VERB	ROOT
3	5	SCONJ	mark
3	6	PRON	nsubj
3	7	VERB	ccomp
3	8	PART	aux
3	9	AUX	aux
3	10	AUX	auxpass
3	11	VERB	xcomp
3	12	ADP	prep
3	13	DET	det
3	14	NOUN	pobj
3	15	ADP	prep
3	16	DET	det
3	17	NOUN	pobj
3	18	PUNCT	punct
3	19	ADP	agent
3	20	PRON	poss
3	21	NOUN	pobj
3	22	CCONJ	cc
3	23	NOUN	conj
3	24	PUNCT	punct
3	25	PART	aux
3	26	VERB	xcomp
3	27	DET	det
3	28	ADJ	amod
3	29	NOUN	dobj
3	30	PUNCT	punct
3	31	SCONJ	mark
3	32	NOUN	nsubj
3	33	ADP	prep
3	34	NOUN	pobj
3	35	AUX	ccomp
3	36	ADV	advmod
3	37	ADJ	acomp
3	38	CCONJ	cc
3	39	PART	neg
3	40	ADP	prep
3	41	VERB	pcomp
3	42	ADJ	amod
3	43	NOUN	dobj
3	44	ADP	prep
3	45	NOUN	pobj
3	46	CCONJ	cc
3	47	NOUN	conj
3	48	PUNCT	punct
3	49	CCONJ	cc
3	50	SCONJ	mark
3	51	PRON	nsubjpass
3	52	AUX	auxpass
3	53	ADV	advmod
3	54	VERB	ccomp
3	55	PART	aux
3	56	VERB	xcomp
3	57	ADP	prep
3	58	PRON	poss
3	59	ADJ	amod
3	60	NOUN	pobj
3	61	ADP	prep
3	62	NOUN	pobj
3	63	CCONJ	cc
3	64	NOUN	conj
3	65	PUNCT	punct
4	0	SCONJ	mark
4	1	PRON	expl
4	2	VERB	advcl
4	3	DET	det
4	4	NOUN	attr
4	5	ADP	prep
4	6	DET	det
4	7	NOUN	pobj
4	8	PUNCT	punct
4	9	DET	det
4	10	NOUN	nsubj
4	11	ADP	prep
4	12	PRON	pobj
4	13	PRON	nsubjpass
4	14	AUX	auxpass
4	15	VERB	relcl
4	16	AUX	aux
4	17	SCONJ	mark
4	18	NOUN	nsubjpass
4	19	AUX	auxpass
4	20	VERB	ROOT
4	21	ADP	prep
4	22	DET	det
4	23	NOUN	pobj
4	24	ADP	prep
4	25	PRON	pobj
4	26	DET	det
4	27	NOUN	nsubj
4	28	AUX	relcl
4	29	PART	aux
4	30	AUX	auxpass
4	31	VERB	xcomp
4	32	PUNCT	punct
