sent_idx	tok_idx	pos	dep
0	0	INTJ	nsubj
0	1	NOUN	punct
0	2	PROPN	prep
0	3	DET	det
0	4	ADJ	compound
0	5	NOUN	nsubj
0	6	VERB	ROOT
0	7	PUNCT	punct
0	8	DET	det
0	9	PROPN	dobj
0	10	ADP	prep
0	11	DET	det
0	12	PROPN	pobj
0	13	ADP	prep
0	14	PROPN	compound
0	15	PROPN	pobj
0	16	CCONJ	cc
0	17	PROPN	conj
0	18	PUNCT	punct
0	19	ADP	prep
0	20	DET	det
0	21	PROPN	compound
0	22	PROPN	compound
0	23	PROPN	pobj
0	24	PUNCT	punct
1	0	PROPN	ROOT
1	1	PUNCT	punct
1	2	PROPN	appos
1	3	NUM	nummod
1	4	PUNCT	punct
1	5	NUM	nummod
1	6	PUNCT	punct
2	0	NOUN	dep
2	1	ADP	prep
2	2	DET	det
2	3	NOUN	pobj
2	4	ADP	prep
2	5	DET	det
2	6	PROPN	pobj
2	7	ADP	prep
2	8	PROPN	compound
2	9	PROPN	pobj
2	10	PUNCT	punct
2	11	ADP	prep
2	12	DET	det
2	13	ADJ	amod
2	14	NOUN	pobj
2	15	VERB	acl
2	16	ADP	agent
2	17	DET	det
2	18	VERB	amod
2	19	PROPN	pobj
2	20	PUNCT	punct
2	21	NOUN	nsubj
2	22	VERB	ROOT
2	23	PART	aux
2	24	AUX	auxpass
2	25	ADV	advmod
2	26	ADV	advmod
2	27	VERB	ccomp
2	28	ADP	prep
2	29	PRON	poss
2	30	NOUN	pobj
2	31	PART	aux
2	32	VERB	acl
2	33	CCONJ	cc
2	34	VERB	conj
2	35	DET	det
2	36	NOUN	dobj
2	37	ADP	prep
2	38	NOUN	pobj
2	39	PUNCT	punct
3	0	DET	det
3	1	NOUN	nsubj
3	2	ADP	prep
3	3	ADJ	amod
3	4	NOUN	pobj
3	5	ADV	neg
3	6	VERB	ROOT
3	7	PRON	nsubj
3	8	ADV	advmod
3	9	ADV	advmod
3	10	ADJ	ccomp
3	11	ADP	prep
3	12	PRON	poss
3	13	NOUN	pobj
3	14	CCONJ	cc
3	15	NOUN	conj
3	16	PUNCT	punct
3	17	SCONJ	mark
3	18	SCONJ	advmod
3	19	PRON	nsubj
3	20	VERB	advcl
3	21	PRON	poss
3	22	NOUN	dobj
3	23	ADP	prep
3	24	DET	det
3	25	ADJ	amod
3	26	NOUN	pobj
3	27	PUNCT	punct
4	0	PRON	nsubj
4	1	AUX	aux
4	2	PART	neg
4	3	VERB	ROOT
4	4	PUNCT	punct
4	5	ADV	advmod
4	6	PUNCT	punct
4	7	PART	aux
4	8	VERB	xcomp
4	9	DET	det
4	10	ADJ	amod
4	11	NOUN	dobj
4	12	ADP	prep
4	13	DET	det
4	14	NOUN	pobj
4	15	PRON	nsubj
4	16	PUNCT	punct
4	17	ADP	prep
4	18	VERB	pcomp
4	19	DET	det
4	20	NOUN	dobj
