doc_a,doc_b,metric,value
01_hamilton_federalist_01,01_hamilton_federalist_01,burrows_delta,0.0000000000
01_hamilton_federalist_01,01_hamilton_federalist_01,cosine_distance,0.0000000000
01_hamilton_federalist_01,06_hamilton_federalist_06,burrows_delta,1.2627629367
01_hamilton_federalist_01,06_hamilton_federalist_06,cosine_distance,0.0478512954
01_hamilton_federalist_01,09_hamilton_federalist_09,burrows_delta,1.1921724926
01_hamilton_federalist_01,09_hamilton_federalist_09,cosine_distance,0.0292289351
01_hamilton_federalist_01,10_madison_federalist_10,burrows_delta,1.2580993780
01_hamilton_federalist_01,10_madison_federalist_10,cosine_distance,0.0387952529
01_hamilton_federalist_01,14_madison_federalist_14,burrows_delta,1.0380473137
01_hamilton_federalist_01,14_madison_federalist_14,cosine_distance,0.0226409796
01_hamilton_federalist_01,39_madison_federalist_39,burrows_delta,1.2261345329
01_hamilton_federalist_01,39_madison_federalist_39,cosine_distance,0.0452068713
06_hamilton_federalist_06,01_hamilton_federalist_01,burrows_delta,1.2627629367
06_hamilton_federalist_06,01_hamilton_federalist_01,cosine_distance,0.0478512954
06_hamilton_federalist_06,06_hamilton_federalist_06,burrows_delta,0.0000000000
06_hamilton_federalist_06,06_hamilton_federalist_06,cosine_distance,0.0000000000
06_hamilton_federalist_06,09_hamilton_federalist_09,burrows_delta,0.9244062703
06_hamilton_federalist_06,09_hamilton_federalist_09,cosine_distance,0.0174836470
06_hamilton_federalist_06,10_madison_federalist_10,burrows_delta,1.1698164198
06_hamilton_federalist_06,10_madison_federalist_10,cosine_distance,0.0395039275
06_hamilton_federalist_06,14_madison_federalist_14,burrows_delta,1.1546588269
06_hamilton_federalist_06,14_madison_federalist_14,cosine_distance,0.0391725018
06_hamilton_federalist_06,39_madison_federalist_39,burrows_delta,1.2529453594
06_hamilton_federalist_06,39_madison_federalist_39,cosine_distance,0.0527863605
09_hamilton_federalist_09,01_hamilton_federalist_01,burrows_delta,1.1921724926
09_hamilton_federalist_09,01_hamilton_federalist_01,cosine_distance,0.0292289351
09_hamilton_federalist_09,06_hamilton_federalist_06,burrows_delta,0.9244062703
09_hamilton_federalist_09,06_hamilton_federalist_06,cosine_distance,0.0174836470
09_hamilton_federalist_09,09_hamilton_federalist_09,burrows_delta,0.0000000000
09_hamilton_federalist_09,09_hamilton_federalist_09,cosine_distance,0.0000000000
09_hamilton_federalist_09,10_madison_federalist_10,burrows_delta,1.1843096665
09_hamilton_federalist_09,10_madison_federalist_10,cosine_distance,0.0436867964
09_hamilton_federalist_09,14_madison_federalist_14,burrows_delta,1.0447247840
09_hamilton_federalist_09,14_madison_federalist_14,cosine_distance,0.0291704280
09_hamilton_federalist_09,39_madison_federalist_39,burrows_delta,1.0890966311
09_hamilton_federalist_09,39_madison_federalist_39,cosine_distance,0.0435487015
10_madison_federalist_10,01_hamilton_federalist_01,burrows_delta,1.2580993780
10_madison_federalist_10,01_hamilton_federalist_01,cosine_distance,0.0387952529
10_madison_federalist_10,06_hamilton_federalist_06,burrows_delta,1.1698164198
10_madison_federalist_10,06_hamilton_federalist_06,cosine_distance,0.0395039275
10_madison_federalist_10,09_hamilton_federalist_09,burrows_delta,1.1843096665
10_madison_federalist_10,09_hamilton_federalist_09,cosine_distance,0.0436867964
10_madison_federalist_10,10_madison_federalist_10,burrows_delta,0.0000000000
10_madison_federalist_10,10_madison_federalist_10,cosine_distance,0.0000000000
10_madison_federalist_10,14_madison_federalist_14,burrows_delta,1.1551143392
10_madison_federalist_10,14_madison_federalist_14,cosine_distance,0.0203226980
10_madison_federalist_10,39_madison_federalist_39,burrows_delta,1.0166554724
10_madison_federalist_10,39_madison_federalist_39,cosine_distance,0.0277235417
14_madison_federalist_14,01_hamilton_federalist_01,burrows_delta,1.0380473137
14_madison_federalist_14,01_hamilton_federalist_01,cosine_distance,0.0226409796
14_madison_federalist_14,06_hamilton_federalist_06,burrows_delta,1.1546588269
14_madison_federalist_14,06_hamilton_federalist_06,cosine_distance,0.0391725018
14_madison_federalist_14,09_hamilton_federalist_09,burrows_delta,1.0447247840
14_madison_federalist_14,09_hamilton_federalist_09,cosine_distance,0.0291704280
14_madison_federalist_14,10_madison_federalist_10,burrows_delta,1.1551143392
14_madison_federalist_14,10_madison_federalist_10,cosine_distance,0.0203226980
14_madison_federalist_14,14_madison_federalist_14,burrows_delta,0.0000000000
14_madison_federalist_14,14_madison_federalist_14,cosine_distance,-0.0000000000
14_madison_federalist_14,39_madison_federalist_39,burrows_delta,1.0745776249
14_madison_federalist_14,39_madison_federalist_39,cosine_distance,0.0195008680
39_madison_federalist_39,01_hamilton_federalist_01,burrows_delta,1.2261345329
39_madison_federalist_39,01_hamilton_federalist_01,cosine_distance,0.0452068713
39_madison_federalist_39,06_hamilton_federalist_06,burrows_delta,1.2529453594
39_madison_federalist_39,06_hamilton_federalist_06,cosine_distance,0.0527863605
39_madison_federalist_39,09_hamilton_federalist_09,burrows_delta,1.0890966311
39_madison_federalist_39,09_hamilton_federalist_09,cosine_distance,0.0435487015
39_madison_federalist_39,10_madison_federalist_10,burrows_delta,1.0166554724
39_madison_federalist_39,10_madison_federalist_10,cosine_distance,0.0277235417
39_madison_federalist_39,14_madison_federalist_14,burrows_delta,1.0745776249
39_madison_federalist_39,14_madison_federalist_14,cosine_distance,0.0195008680
39_madison_federalist_39,39_madison_federalist_39,burrows_delta,0.0000000000
39_madison_federalist_39,39_madison_federalist_39,cosine_distance,0.0000000000
