doc_a,doc_b,metric,value
01_hamilton_federalist_01,01_hamilton_federalist_01,burrows_delta,0.0000000000
01_hamilton_federalist_01,01_hamilton_federalist_01,cosine_distance,-0.0000000000
01_hamilton_federalist_01,06_hamilton_federalist_06,burrows_delta,1.1815503105
01_hamilton_federalist_01,06_hamilton_federalist_06,cosine_distance,0.0313334048
01_hamilton_federalist_01,09_hamilton_federalist_09,burrows_delta,1.0836609891
01_hamilton_federalist_01,09_hamilton_federalist_09,cosine_distance,0.0215784257
01_hamilton_federalist_01,10_madison_federalist_10,burrows_delta,1.1053722343
01_hamilton_federalist_01,10_madison_federalist_10,cosine_distance,0.0283823924
01_hamilton_federalist_01,14_madison_federalist_14,burrows_delta,1.0177757942
01_hamilton_federalist_01,14_madison_federalist_14,cosine_distance,0.0217499922
01_hamilton_federalist_01,39_madison_federalist_39,burrows_delta,1.3612935436
01_hamilton_federalist_01,39_madison_federalist_39,cosine_distance,0.0374110305
06_hamilton_federalist_06,01_hamilton_federalist_01,burrows_delta,1.1815503105
06_hamilton_federalist_06,01_hamilton_federalist_01,cosine_distance,0.0313334048
06_hamilton_federalist_06,06_hamilton_federalist_06,burrows_delta,0.0000000000
06_hamilton_federalist_06,06_hamilton_federalist_06,cosine_distance,-0.0000000000
06_hamilton_federalist_06,09_hamilton_federalist_09,burrows_delta,1.1135496629
06_hamilton_federalist_06,09_hamilton_federalist_09,cosine_distance,0.0248996730
06_hamilton_federalist_06,10_madison_federalist_10,burrows_delta,1.1653840882
06_hamilton_federalist_06,10_madison_federalist_10,cosine_distance,0.0322226348
06_hamilton_federalist_06,14_madison_federalist_14,burrows_delta,1.1889349619
06_hamilton_federalist_06,14_madison_federalist_14,cosine_distance,0.0320605497
06_hamilton_federalist_06,39_madison_federalist_39,burrows_delta,1.3783667549
06_hamilton_federalist_06,39_madison_federalist_39,cosine_distance,0.0455096290
09_hamilton_federalist_09,01_hamilton_federalist_01,burrows_delta,1.0836609891
09_hamilton_federalist_09,01_hamilton_federalist_01,cosine_distance,0.0215784257
09_hamilton_federalist_09,06_hamilton_federalist_06,burrows_delta,1.1135496629
09_hamilton_federalist_09,06_hamilton_federalist_06,cosine_distance,0.0248996730
09_hamilton_federalist_09,09_hamilton_federalist_09,burrows_delta,0.0000000000
09_hamilton_federalist_09,09_hamilton_federalist_09,cosine_distance,-0.0000000000
09_hamilton_federalist_09,10_madison_federalist_10,burrows_delta,1.1911692921
09_hamilton_federalist_09,10_madison_federalist_10,cosine_distance,0.0357154037
09_hamilton_federalist_09,14_madison_federalist_14,burrows_delta,1.0653825227
09_hamilton_federalist_09,14_madison_federalist_14,cosine_distance,0.0259280658
09_hamilton_federalist_09,39_madison_federalist_39,burrows_delta,1.1370956101
09_hamilton_federalist_09,39_madison_federalist_39,cosine_distance,0.0281434188
10_madison_federalist_10,01_hamilton_federalist_01,burrows_delta,1.1053722343
10_madison_federalist_10,01_hamilton_federalist_01,cosine_distance,0.0283823924
10_madison_federalist_10,06_hamilton_federalist_06,burrows_delta,1.1653840882
10_madison_federalist_10,06_hamilton_federalist_06,cosine_distance,0.0322226348
10_madison_federalist_10,09_hamilton_federalist_09,burrows_delta,1.1911692921
10_madison_federalist_10,09_hamilton_federalist_09,cosine_distance,0.0357154037
10_madison_federalist_10,10_madison_federalist_10,burrows_delta,0.0000000000
10_madison_federalist_10,10_madison_federalist_10,cosine_distance,0.0000000000
10_madison_federalist_10,14_madison_federalist_14,burrows_delta,1.0450387236
10_madison_federalist_10,14_madison_federalist_14,cosine_distance,0.0258221453
10_madison_federalist_10,39_madison_federalist_39,burrows_delta,1.3526479627
10_madison_federalist_10,39_madison_federalist_39,cosine_distance,0.0408221941
14_madison_federalist_14,01_hamilton_federalist_01,burrows_delta,1.0177757942
14_madison_federalist_14,01_hamilton_federalist_01,cosine_distance,0.0217499922
14_madison_federalist_14,06_hamilton_federalist_06,burrows_delta,1.1889349619
14_madison_federalist_14,06_hamilton_federalist_06,cosine_distance,0.0320605497
14_madison_federalist_14,09_hamilton_federalist_09,burrows_delta,1.0653825227
14_madison_federalist_14,09_hamilton_federalist_09,cosine_distance,0.0259280658
14_madison_federalist_14,10_madison_federalist_10,burrows_delta,1.0450387236
14_madison_federalist_14,10_madison_federalist_10,cosine_distance,0.0258221453
14_madison_federalist_14,14_madison_federalist_14,burrows_delta,0.0000000000
14_madison_federalist_14,14_madison_federalist_14,cosine_distance,0.0000000000
14_madison_federalist_14,39_madison_federalist_39,burrows_delta,1.2910125367
14_madison_federalist_14,39_madison_federalist_39,cosine_distance,0.0295308869
39_madison_federalist_39,01_hamilton_federalist_01,burrows_delta,1.3612935436
39_madison_federalist_39,01_hamilton_federalist_01,cosine_distance,0.0374110305
39_madison_federalist_39,06_hamilton_federalist_06,burrows_delta,1.3783667549
39_madison_federalist_39,06_hamilton_federalist_06,cosine_distance,0.0455096290
39_madison_federalist_39,09_hamilton_federalist_09,burrows_delta,1.1370956101
39_madison_federalist_39,09_hamilton_federalist_09,cosine_distance,0.0281434188
39_madison_federalist_39,10_madison_federalist_10,burrows_delta,1.3526479627
39_madison_federalist_39,10_madison_federalist_10,cosine_distance,0.0408221941
39_madison_federalist_39,14_madison_federalist_14,burrows_delta,1.2910125367
39_madison_federalist_39,14_madison_federalist_14,cosine_distance,0.0295308869
39_madison_federalist_39,39_madison_federalist_39,burrows_delta,0.0000000000
39_madison_federalist_39,39_madison_federalist_39,cosine_distance,0.0000000000
