"doc_a","doc_b","metric","value"
"01_hamilton_federalist_01","01_hamilton_federalist_01","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","burrows_delta","1.1854535883"
"01_hamilton_federalist_01","09_hamilton_federalist_09","burrows_delta","1.1460599698"
"01_hamilton_federalist_01","10_madison_federalist_10","burrows_delta","1.0418930135"
"01_hamilton_federalist_01","14_madison_federalist_14","burrows_delta","0.9479889087"
"01_hamilton_federalist_01","39_madison_federalist_39","burrows_delta","1.3741267226"
"06_hamilton_federalist_06","01_hamilton_federalist_01","burrows_delta","1.1854535883"
"06_hamilton_federalist_06","06_hamilton_federalist_06","burrows_delta","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","burrows_delta","1.0594898257"
"06_hamilton_federalist_06","10_madison_federalist_10","burrows_delta","1.0281291704"
"06_hamilton_federalist_06","14_madison_federalist_14","burrows_delta","1.1717655196"
"06_hamilton_federalist_06","39_madison_federalist_39","burrows_delta","1.4678661290"
"09_hamilton_federalist_09","01_hamilton_federalist_01","burrows_delta","1.1460599698"
"09_hamilton_federalist_09","06_hamilton_federalist_06","burrows_delta","1.0594898257"
"09_hamilton_federalist_09","09_hamilton_federalist_09","burrows_delta","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","burrows_delta","1.1198341342"
"09_hamilton_federalist_09","14_madison_federalist_14","burrows_delta","1.1348375814"
"09_hamilton_federalist_09","39_madison_federalist_39","burrows_delta","1.2751687612"
"10_madison_federalist_10","01_hamilton_federalist_01","burrows_delta","1.0418930135"
"10_madison_federalist_10","06_hamilton_federalist_06","burrows_delta","1.0281291704"
"10_madison_federalist_10","09_hamilton_federalist_09","burrows_delta","1.1198341342"
"10_madison_federalist_10","10_madison_federalist_10","burrows_delta","0.0000000000"
"10_madison_federalist_10","14_madison_federalist_14","burrows_delta","1.0258983640"
"10_madison_federalist_10","39_madison_federalist_39","burrows_delta","1.4007464618"
"14_madison_federalist_14","01_hamilton_federalist_01","burrows_delta","0.9479889087"
"14_madison_federalist_14","06_hamilton_federalist_06","burrows_delta","1.1717655196"
"14_madison_federalist_14","09_hamilton_federalist_09","burrows_delta","1.1348375814"
"14_madison_federalist_14","10_madison_federalist_10","burrows_delta","1.0258983640"
"14_madison_federalist_14","14_madison_federalist_14","burrows_delta","0.0000000000"
"14_madison_federalist_14","39_madison_federalist_39","burrows_delta","1.3642980639"
"39_madison_federalist_39","01_hamilton_federalist_01","burrows_delta","1.3741267226"
"39_madison_federalist_39","06_hamilton_federalist_06","burrows_delta","1.4678661290"
"39_madison_federalist_39","09_hamilton_federalist_09","burrows_delta","1.2751687612"
"39_madison_federalist_39","10_madison_federalist_10","burrows_delta","1.4007464618"
"39_madison_federalist_39","14_madison_federalist_14","burrows_delta","1.3642980639"
"39_madison_federalist_39","39_madison_federalist_39","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","01_hamilton_federalist_01","cosine_distance","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","cosine_distance","0.0461739287"
"01_hamilton_federalist_01","09_hamilton_federalist_09","cosine_distance","0.0344404029"
"01_hamilton_federalist_01","10_madison_federalist_10","cosine_distance","0.0407225915"
"01_hamilton_federalist_01","14_madison_federalist_14","cosine_distance","0.0272524590"
"01_hamilton_federalist_01","39_madison_federalist_39","cosine_distance","0.0510589421"
"06_hamilton_federalist_06","01_hamilton_federalist_01","cosine_distance","0.0461739287"
"06_hamilton_federalist_06","06_hamilton_federalist_06","cosine_distance","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","cosine_distance","0.0375903472"
"06_hamilton_federalist_06","10_madison_federalist_10","cosine_distance","0.0413124985"
"06_hamilton_federalist_06","14_madison_federalist_14","cosine_distance","0.0408718999"
"06_hamilton_federalist_06","39_madison_federalist_39","cosine_distance","0.0654044677"
"09_hamilton_federalist_09","01_hamilton_federalist_01","cosine_distance","0.0344404029"
"09_hamilton_federalist_09","06_hamilton_federalist_06","cosine_distance","0.0375903472"
"09_hamilton_federalist_09","09_hamilton_federalist_09","cosine_distance","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","cosine_distance","0.0499051039"
"09_hamilton_federalist_09","14_madison_federalist_14","cosine_distance","0.0384990945"
"09_hamilton_federalist_09","39_madison_federalist_39","cosine_distance","0.0431704581"
"10_madison_federalist_10","01_hamilton_federalist_01","cosine_distance","0.0407225915"
"10_madison_federalist_10","06_hamilton_federalist_06","cosine_distance","0.0413124985"
"10_madison_federalist_10","09_hamilton_federalist_09","cosine_distance","0.0499051039"
"10_madison_federalist_10","10_madison_federalist_10","cosine_distance","0.0000000000"
"10_madison_federalist_10","14_madison_federalist_14","cosine_distance","0.0303764550"
"10_madison_federalist_10","39_madison_federalist_39","cosine_distance","0.0566872045"
"14_madison_federalist_14","01_hamilton_federalist_01","cosine_distance","0.0272524590"
"14_madison_federalist_14","06_hamilton_federalist_06","cosine_distance","0.0408718999"
"14_madison_federalist_14","09_hamilton_federalist_09","cosine_distance","0.0384990945"
"14_madison_federalist_14","10_madison_federalist_10","cosine_distance","0.0303764550"
"14_madison_federalist_14","14_madison_federalist_14","cosine_distance","0.0000000000"
"14_madison_federalist_14","39_madison_federalist_39","cosine_distance","0.0429468794"
"39_madison_federalist_39","01_hamilton_federalist_01","cosine_distance","0.0510589421"
"39_madison_federalist_39","06_hamilton_federalist_06","cosine_distance","0.0654044677"
"39_madison_federalist_39","09_hamilton_federalist_09","cosine_distance","0.0431704581"
"39_madison_federalist_39","10_madison_federalist_10","cosine_distance","0.0566872045"
"39_madison_federalist_39","14_madison_federalist_14","cosine_distance","0.0429468794"
"39_madison_federalist_39","39_madison_federalist_39","cosine_distance","0.0000000000"
