"doc_a","doc_b","metric","value"
"01_hamilton_federalist_01","01_hamilton_federalist_01","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","burrows_delta","1.2213572983"
"01_hamilton_federalist_01","09_hamilton_federalist_09","burrows_delta","1.0407734988"
"01_hamilton_federalist_01","10_madison_federalist_10","burrows_delta","1.1530723258"
"01_hamilton_federalist_01","14_madison_federalist_14","burrows_delta","1.0588588161"
"01_hamilton_federalist_01","39_madison_federalist_39","burrows_delta","1.2816290273"
"06_hamilton_federalist_06","01_hamilton_federalist_01","burrows_delta","1.2213572983"
"06_hamilton_federalist_06","06_hamilton_federalist_06","burrows_delta","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","burrows_delta","1.0928704471"
"06_hamilton_federalist_06","10_madison_federalist_10","burrows_delta","1.1583920194"
"06_hamilton_federalist_06","14_madison_federalist_14","burrows_delta","1.3173856998"
"06_hamilton_federalist_06","39_madison_federalist_39","burrows_delta","1.3745479116"
"09_hamilton_federalist_09","01_hamilton_federalist_01","burrows_delta","1.0407734988"
"09_hamilton_federalist_09","06_hamilton_federalist_06","burrows_delta","1.0928704471"
"09_hamilton_federalist_09","09_hamilton_federalist_09","burrows_delta","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","burrows_delta","1.0734519648"
"09_hamilton_federalist_09","14_madison_federalist_14","burrows_delta","1.0927448095"
"09_hamilton_federalist_09","39_madison_federalist_39","burrows_delta","1.2829106944"
"10_madison_federalist_10","01_hamilton_federalist_01","burrows_delta","1.1530723258"
"10_madison_federalist_10","06_hamilton_federalist_06","burrows_delta","1.1583920194"
"10_madison_federalist_10","09_hamilton_federalist_09","burrows_delta","1.0734519648"
"10_madison_federalist_10","10_madison_federalist_10","burrows_delta","0.0000000000"
"10_madison_federalist_10","14_madison_federalist_14","burrows_delta","1.1800000378"
"10_madison_federalist_10","39_madison_federalist_39","burrows_delta","1.2765936693"
"14_madison_federalist_14","01_hamilton_federalist_01","burrows_delta","1.0588588161"
"14_madison_federalist_14","06_hamilton_federalist_06","burrows_delta","1.3173856998"
"14_madison_federalist_14","09_hamilton_federalist_09","burrows_delta","1.0927448095"
"14_madison_federalist_14","10_madison_federalist_10","burrows_delta","1.1800000378"
"14_madison_federalist_14","14_madison_federalist_14","burrows_delta","0.0000000000"
"14_madison_federalist_14","39_madison_federalist_39","burrows_delta","1.1667521105"
"39_madison_federalist_39","01_hamilton_federalist_01","burrows_delta","1.2816290273"
"39_madison_federalist_39","06_hamilton_federalist_06","burrows_delta","1.3745479116"
"39_madison_federalist_39","09_hamilton_federalist_09","burrows_delta","1.2829106944"
"39_madison_federalist_39","10_madison_federalist_10","burrows_delta","1.2765936693"
"39_madison_federalist_39","14_madison_federalist_14","burrows_delta","1.1667521105"
"39_madison_federalist_39","39_madison_federalist_39","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","01_hamilton_federalist_01","cosine_distance","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","cosine_distance","0.0407442472"
"01_hamilton_federalist_01","09_hamilton_federalist_09","cosine_distance","0.0295309920"
"01_hamilton_federalist_01","10_madison_federalist_10","cosine_distance","0.0739838874"
"01_hamilton_federalist_01","14_madison_federalist_14","cosine_distance","0.0397986193"
"01_hamilton_federalist_01","39_madison_federalist_39","cosine_distance","0.0416650831"
"06_hamilton_federalist_06","01_hamilton_federalist_01","cosine_distance","0.0407442472"
"06_hamilton_federalist_06","06_hamilton_federalist_06","cosine_distance","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","cosine_distance","0.0286114664"
"06_hamilton_federalist_06","10_madison_federalist_10","cosine_distance","0.0453459219"
