doc_a,doc_b,metric,value
01_hamilton_federalist_01,01_hamilton_federalist_01,burrows_delta,0.0000000000
01_hamilton_federalist_01,01_hamilton_federalist_01,cosine_distance,0.0000000000
01_hamilton_federalist_01,06_hamilton_federalist_06,burrows_delta,1.2052724724
01_hamilton_federalist_01,06_hamilton_federalist_06,cosine_distance,0.0313334048
01_hamilton_federalist_01,09_hamilton_federalist_09,burrows_delta,1.0930402433
01_hamilton_federalist_01,09_hamilton_federalist_09,cosine_distance,0.0215784257
01_hamilton_federalist_01,10_madison_federalist_10,burrows_delta,1.1104687195
01_hamilton_federalist_01,10_madison_federalist_10,cosine_distance,0.0283823924
01_hamilton_federalist_01,14_madison_federalist_14,burrows_delta,1.0381703762
01_hamilton_federalist_01,14_madison_federalist_14,cosine_distance,0.0217499922
01_hamilton_federalist_01,39_madison_federalist_39,burrows_delta,1.3302971022
01_hamilton_federalist_01,39_madison_federalist_39,cosine_distance,0.0374110305
06_hamilton_federalist_06,01_hamilton_federalist_01,burrows_delta,1.2052724724
06_hamilton_federalist_06,01_hamilton_federalist_01,cosine_distance,0.0313334048
06_hamilton_federalist_06,06_hamilton_federalist_06,burrows_delta,0.0000000000
06_hamilton_federalist_06,06_hamilton_federalist_06,cosine_distance,0.0000000000
06_hamilton_federalist_06,09_hamilton_federalist_09,burrows_delta,1.1267148833
06_hamilton_federalist_06,09_hamilton_federalist_09,cosine_distance,0.0248996730
06_hamilton_federalist_06,10_madison_federalist_10,burrows_delta,1.2009398036
06_hamilton_federalist_06,10_madison_federalist_10,cosine_distance,0.0322226348
06_hamilton_federalist_06,14_madison_federalist_14,burrows_delta,1.2398575360
06_hamilton_federalist_06,14_madison_federalist_14,cosine_distance,0.0320605497
06_hamilton_federalist_06,39_madison_federalist_39,burrows_delta,1.3647017954
06_hamilton_federalist_06,39_madison_federalist_39,cosine_distance,0.0455096290
09_hamilton_federalist_09,01_hamilton_federalist_01,burrows_delta,1.0930402433
09_hamilton_federalist_09,01_hamilton_federalist_01,cosine_distance,0.0215784257
09_hamilton_federalist_09,06_hamilton_federalist_06,burrows_delta,1.1267148833
09_hamilton_federalist_09,06_hamilton_federalist_06,cosine_distance,0.0248996730
09_hamilton_federalist_09,09_hamilton_federalist_09,burrows_delta,0.0000000000
09_hamilton_federalist_09,09_hamilton_federalist_09,cosine_distance,0.0000000000
09_hamilton_federalist_09,10_madison_federalist_10,burrows_delta,1.1919960964
09_hamilton_federalist_09,10_madison_federalist_10,cosine_distance,0.0357154037
09_hamilton_federalist_09,14_madison_federalist_14,burrows_delta,1.0694749011
09_hamilton_federalist_09,14_madison_federalist_14,cosine_distance,0.0259280658
09_hamilton_federalist_09,39_madison_federalist_39,burrows_delta,1.1092149848
09_hamilton_federalist_09,39_madison_federalist_39,cosine_distance,0.0281434188
10_madison_federalist_10,01_hamilton_federalist_01,burrows_delta,1.1104687195
10_madison_federalist_10,01_hamilton_federalist_01,cosine_distance,0.0283823924
10_madison_federalist_10,06_hamilton_federalist_06,burrows_delta,1.2009398036
10_madison_federalist_10,06_hamilton_federalist_06,cosine_distance,0.0322226348
10_madison_federalist_10,09_hamilton_federalist_09,burrows_delta,1.1919960964
10_madison_federalist_10,09_hamilton_federalist_09,cosine_distance,0.0357154037
10_madison_federalist_10,10_madison_federalist_10,burrows_delta,0.0000000000
10_madison_federalist_10,10_madison_federalist_10,cosine_distance,0.0000000000
10_madison_federalist_10,14_madison_federalist_14,burrows_delta,1.0489878640
10_madison_federalist_10,14_madison_federalist_14,cosine_distance,0.0258221453
10_madison_federalist_10,39_madison_federalist_39,burrows_delta,1.3326893199
10_madison_federalist_10,39_madison_federalist_39,cosine_distance,0.0408221941
14_madison_federalist_14,01_hamilton_federalist_01,burrows_delta,1.0381703762
14_madison_federalist_14,01_hamilton_federalist_01,cosine_distance,0.0217499922
14_madison_federalist_14,06_hamilton_federalist_06,burrows_delta,1.2398575360
14_madison_federalist_14,06_hamilton_federalist_06,cosine_distance,0.0320605497
14_madison_federalist_14,09_hamilton_federalist_09,burrows_delta,1.0694749011
14_madison_federalist_14,09_hamilton_federalist_09,cosine_distance,0.0259280658
14_madison_federalist_14,10_madison_federalist_10,burrows_delta,1.0489878640
14_madison_federalist_14,10_madison_federalist_10,cosine_distance,0.0258221453
14_madison_federalist_14,14_madison_federalist_14,burrows_delta,0.0000000000
14_madison_federalist_14,14_madison_federalist_14,cosine_distance,0.0000000000
14_madison_federalist_14,39_madison_federalist_39,burrows_delta,1.2388372032
14_madison_federalist_14,39_madison_federalist_39,cosine_distance,0.0295308869
39_madison_federalist_39,01_hamilton_federalist_01,burrows_delta,1.3302971022
39_madison_federalist_39,01_hamilton_federalist_01,cosine_distance,0.0374110305
39_madison_federalist_39,06_hamilton_federalist_06,burrows_delta,1.3647017954
39_madison_federalist_39,06_hamilton_federalist_06,cosine_distance,0.0455096290
39_madison_federalist_39,09_hamilton_federalist_09,burrows_delta,1.1092149848
39_madison_federalist_39,09_hamilton_federalist_09,cosine_distance,0.0281434188
39_madison_federalist_39,10_madison_federalist_10,burrows_delta,1.3326893199
39_madison_federalist_39,10_madison_federalist_10,cosine_distance,0.0408221941
39_madison_federalist_39,14_madison_federalist_14,burrows_delta,1.2388372032
39_madison_federalist_39,14_madison_federalist_14,cosine_distance,0.0295308869
39_madison_federalist_39,39_madison_federalist_39,burrows_delta,0.0000000000
39_madison_federalist_39,39_madison_federalist_39,cosine_distance,-0.0000000000
