doc_a,doc_b,metric,value
01_hamilton_federalist_01,01_hamilton_federalist_01,burrows_delta,0.0000000000
01_hamilton_federalist_01,01_hamilton_federalist_01,cosine_distance,0.0000000000
01_hamilton_federalist_01,06_hamilton_federalist_06,burrows_delta,1.2161093160
01_hamilton_federalist_01,06_hamilton_federalist_06,cosine_distance,0.0407442473
01_hamilton_federalist_01,09_hamilton_federalist_09,burrows_delta,1.0363050616
01_hamilton_federalist_01,09_hamilton_federalist_09,cosine_distance,0.0295309921
01_hamilton_federalist_01,10_madison_federalist_10,burrows_delta,1.1753899950
01_hamilton_federalist_01,10_madison_federalist_10,cosine_distance,0.0739838876
01_hamilton_federalist_01,14_madison_federalist_14,burrows_delta,1.0653601173
01_hamilton_federalist_01,14_madison_federalist_14,cosine_distance,0.0397986189
01_hamilton_federalist_01,39_madison_federalist_39,burrows_delta,1.2680885871
01_hamilton_federalist_01,39_madison_federalist_39,cosine_distance,0.0416650830
06_hamilton_federalist_06,01_hamilton_federalist_01,burrows_delta,1.2161093160
06_hamilton_federalist_06,01_hamilton_federalist_01,cosine_distance,0.0407442473
06_hamilton_federalist_06,06_hamilton_federalist_06,burrows_delta,0.0000000000
06_hamilton_federalist_06,06_hamilton_federalist_06,cosine_distance,0.0000000000
06_hamilton_federalist_06,09_hamilton_federalist_09,burrows_delta,1.0807797646
06_hamilton_federalist_06,09_hamilton_federalist_09,cosine_distance,0.0286114664
06_hamilton_federalist_06,10_madison_federalist_10,burrows_delta,1.1772648076
06_hamilton_federalist_06,10_madison_federalist_10,cosine_distance,0.0453459220
06_hamilton_federalist_06,14_madison_federalist_14,burrows_delta,1.3233273429
06_hamilton_federalist_06,14_madison_federalist_14,cosine_distance,0.0467833230
06_hamilton_federalist_06,39_madison_federalist_39,burrows_delta,1.3518848826
06_hamilton_federalist_06,39_madison_federalist_39,cosine_distance,0.0475030128
09_hamilton_federalist_09,01_hamilton_federalist_01,burrows_delta,1.0363050616
09_hamilton_federalist_09,01_hamilton_federalist_01,cosine_distance,0.0295309921
09_hamilton_federalist_09,06_hamilton_federalist_06,burrows_delta,1.0807797646
09_hamilton_federalist_09,06_hamilton_federalist_06,cosine_distance,0.0286114664
09_hamilton_federalist_09,09_hamilton_federalist_09,burrows_delta,0.0000000000
09_hamilton_federalist_09,09_hamilton_federalist_09,cosine_distance,0.0000000000
09_hamilton_federalist_09,10_madison_federalist_10,burrows_delta,1.0914389650
09_hamilton_federalist_09,10_madison_federalist_10,cosine_distance,0.0425224021
09_hamilton_federalist_09,14_madison_federalist_14,burrows_delta,1.0908761325
09_hamilton_federalist_09,14_madison_federalist_14,cosine_distance,0.0243949790
09_hamilton_federalist_09,39_madison_federalist_39,burrows_delta,1.2610715378
09_hamilton_federalist_09,39_madison_federalist_39,cosine_distance,0.0406175555
10_madison_federalist_10,01_hamilton_federalist_01,burrows_delta,1.1753899950
10_madison_federalist_10,01_hamilton_federalist_01,cosine_distance,0.0739838876
10_madison_federalist_10,06_hamilton_federalist_06,burrows_delta,1.1772648076
10_madison_federalist_10,06_hamilton_federalist_06,cosine_distance,0.0453459220
10_madison_federalist_10,09_hamilton_federalist_09,burrows_delta,1.0914389650
10_madison_federalist_10,09_hamilton_federalist_09,cosine_distance,0.0425224021
10_madison_federalist_10,10_madison_federalist_10,burrows_delta,0.0000000000
10_madison_federalist_10,10_madison_federalist_10,cosine_distance,-0.0000000000
10_madison_federalist_10,14_madison_federalist_14,burrows_delta,1.1931765341
10_madison_federalist_10,14_madison_federalist_14,cosine_distance,0.0434717368
10_madison_federalist_10,39_madison_federalist_39,burrows_delta,1.2815318035
10_madison_federalist_10,39_madison_federalist_39,cosine_distance,0.0750091296
14_madison_federalist_14,01_hamilton_federalist_01,burrows_delta,1.0653601173
14_madison_federalist_14,01_hamilton_federalist_01,cosine_distance,0.0397986189
14_madison_federalist_14,06_hamilton_federalist_06,burrows_delta,1.3233273429
14_madison_federalist_14,06_hamilton_federalist_06,cosine_distance,0.0467833230
14_madison_federalist_14,09_hamilton_federalist_09,burrows_delta,1.0908761325
14_madison_federalist_14,09_hamilton_federalist_09,cosine_distance,0.0243949790
14_madison_federalist_14,10_madison_federalist_10,burrows_delta,1.1931765341
14_madison_federalist_14,10_madison_federalist_10,cosine_distance,0.0434717368
14_madison_federalist_14,14_madison_federalist_14,burrows_delta,0.0000000000
14_madison_federalist_14,14_madison_federalist_14,cosine_distance,0.0000000000
14_madison_federalist_14,39_madison_federalist_39,burrows_delta,1.1676232884
14_madison_federalist_14,39_madison_federalist_39,cosine_distance,0.0393841287
39_madison_federalist_39,01_hamilton_federalist_01,burrows_delta,1.2680885871
39_madison_federalist_39,01_hamilton_federalist_01,cosine_distance,0.0416650830
39_madison_federalist_39,06_hamilton_federalist_06,burrows_delta,1.3518848826
39_madison_federalist_39,06_hamilton_federalist_06,cosine_distance,0.0475030128
39_madison_federalist_39,09_hamilton_federalist_09,burrows_delta,1.2610715378
39_madison_federalist_39,09_hamilton_federalist_09,cosine_distance,0.0406175555
39_madison_federalist_39,10_madison_federalist_10,burrows_delta,1.2815318035
39_madison_federalist_39,10_madison_federalist_10,cosine_distance,0.0750091296
39_madison_federalist_39,14_madison_federalist_14,burrows_delta,1.1676232884
39_madison_federalist_39,14_madison_federalist_14,cosine_distance,0.0393841287
39_madison_federalist_39,39_madison_federalist_39,burrows_delta,0.0000000000
39_madison_federalist_39,39_madison_federalist_39,cosine_distance,0.0000000000
