doc_a,doc_b,metric,value
01_hamilton_federalist_01,01_hamilton_federalist_01,burrows_delta,0.0000000000
01_hamilton_federalist_01,01_hamilton_federalist_01,cosine_distance,0.0000000000
01_hamilton_federalist_01,06_hamilton_federalist_06,burrows_delta,1.2233585191
01_hamilton_federalist_01,06_hamilton_federalist_06,cosine_distance,0.0597267679
01_hamilton_federalist_01,09_hamilton_federalist_09,burrows_delta,1.1027041231
01_hamilton_federalist_01,09_hamilton_federalist_09,cosine_distance,0.0520181904
01_hamilton_federalist_01,10_madison_federalist_10,burrows_delta,1.1771985598
01_hamilton_federalist_01,10_madison_federalist_10,cosine_distance,0.1077421656
01_hamilton_federalist_01,14_madison_federalist_14,burrows_delta,1.0871662975
01_hamilton_federalist_01,14_madison_federalist_14,cosine_distance,0.0533168333
01_hamilton_federalist_01,39_madison_federalist_39,burrows_delta,1.3617312541
01_hamilton_federalist_01,39_madison_federalist_39,cosine_distance,0.0843784817
06_hamilton_federalist_06,01_hamilton_federalist_01,burrows_delta,1.2233585191
06_hamilton_federalist_06,01_hamilton_federalist_01,cosine_distance,0.0597267679
06_hamilton_federalist_06,06_hamilton_federalist_06,burrows_delta,0.0000000000
06_hamilton_federalist_06,06_hamilton_federalist_06,cosine_distance,0.0000000000
06_hamilton_federalist_06,09_hamilton_federalist_09,burrows_delta,1.1125750981
06_hamilton_federalist_06,09_hamilton_federalist_09,cosine_distance,0.0413409717
06_hamilton_federalist_06,10_madison_federalist_10,burrows_delta,1.0986966883
06_hamilton_federalist_06,10_madison_federalist_10,cosine_distance,0.0790967595
06_hamilton_federalist_06,14_madison_federalist_14,burrows_delta,1.1595556716
06_hamilton_federalist_06,14_madison_federalist_14,cosine_distance,0.0643441856
06_hamilton_federalist_06,39_madison_federalist_39,burrows_delta,1.2847243360
06_hamilton_federalist_06,39_madison_federalist_39,cosine_distance,0.0839079270
09_hamilton_federalist_09,01_hamilton_federalist_01,burrows_delta,1.1027041231
09_hamilton_federalist_09,01_hamilton_federalist_01,cosine_distance,0.0520181904
09_hamilton_federalist_09,06_hamilton_federalist_06,burrows_delta,1.1125750981
09_hamilton_federalist_09,06_hamilton_federalist_06,cosine_distance,0.0413409717
09_hamilton_federalist_09,09_hamilton_federalist_09,burrows_delta,0.0000000000
09_hamilton_federalist_09,09_hamilton_federalist_09,cosine_distance,0.0000000000
09_hamilton_federalist_09,10_madison_federalist_10,burrows_delta,1.1569844216
09_hamilton_federalist_09,10_madison_federalist_10,cosine_distance,0.0734073805
09_hamilton_federalist_09,14_madison_federalist_14,burrows_delta,1.0652038188
09_hamilton_federalist_09,14_madison_federalist_14,cosine_distance,0.0396023305
09_hamilton_federalist_09,39_madison_federalist_39,burrows_delta,1.3169077417
09_hamilton_federalist_09,39_madison_federalist_39,cosine_distance,0.0780408707
10_madison_federalist_10,01_hamilton_federalist_01,burrows_delta,1.1771985598
10_madison_federalist_10,01_hamilton_federalist_01,cosine_distance,0.1077421656
10_madison_federalist_10,06_hamilton_federalist_06,burrows_delta,1.0986966883
10_madison_federalist_10,06_hamilton_federalist_06,cosine_distance,0.0790967595
10_madison_federalist_10,09_hamilton_federalist_09,burrows_delta,1.1569844216
10_madison_federalist_10,09_hamilton_federalist_09,cosine_distance,0.0734073805
10_madison_federalist_10,10_madison_federalist_10,burrows_delta,0.0000000000
10_madison_federalist_10,10_madison_federalist_10,cosine_distance,0.0000000000
10_madison_federalist_10,14_madison_federalist_14,burrows_delta,1.0462764132
10_madison_federalist_10,14_madison_federalist_14,cosine_distance,0.0674276272
10_madison_federalist_10,39_madison_federalist_39,burrows_delta,1.2863763121
10_madison_federalist_10,39_madison_federalist_39,cosine_distance,0.1084042394
14_madison_federalist_14,01_hamilton_federalist_01,burrows_delta,1.0871662975
14_madison_federalist_14,01_hamilton_federalist_01,cosine_distance,0.0533168333
14_madison_federalist_14,06_hamilton_federalist_06,burrows_delta,1.1595556716
14_madison_federalist_14,06_hamilton_federalist_06,cosine_distance,0.0643441856
14_madison_federalist_14,09_hamilton_federalist_09,burrows_delta,1.0652038188
14_madison_federalist_14,09_hamilton_federalist_09,cosine_distance,0.0396023305
14_madison_federalist_14,10_madison_federalist_10,burrows_delta,1.0462764132
14_madison_federalist_14,10_madison_federalist_10,cosine_distance,0.0674276272
14_madison_federalist_14,14_madison_federalist_14,burrows_delta,0.0000000000
14_madison_federalist_14,14_madison_federalist_14,cosine_distance,0.0000000000
14_madison_federalist_14,39_madison_federalist_39,burrows_delta,1.1735424871
14_madison_federalist_14,39_madison_federalist_39,cosine_distance,0.0535237865
39_madison_federalist_39,01_hamilton_federalist_01,burrows_delta,1.3617312541
39_madison_federalist_39,01_hamilton_federalist_01,cosine_distance,0.0843784817
39_madison_federalist_39,06_hamilton_federalist_06,burrows_delta,1.2847243360
39_madison_federalist_39,06_hamilton_federalist_06,cosine_distance,0.0839079270
39_madison_federalist_39,09_hamilton_federalist_09,burrows_delta,1.3169077417
39_madison_federalist_39,09_hamilton_federalist_09,cosine_distance,0.0780408707
39_madison_federalist_39,10_madison_federalist_10,burrows_delta,1.2863763121
39_madison_federalist_39,10_madison_federalist_10,cosine_distance,0.1084042394
39_madison_federalist_39,14_madison_federalist_14,burrows_delta,1.1735424871
39_madison_federalist_39,14_madison_federalist_14,cosine_distance,0.0535237865
39_madison_federalist_39,39_madison_federalist_39,burrows_delta,0.0000000000
39_madison_federalist_39,39_madison_federalist_39,cosine_distance,-0.0000000000
