"doc_a","doc_b","metric","value"
"01_hamilton_federalist_01","01_hamilton_federalist_01","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","burrows_delta","1.2627629394"
"01_hamilton_federalist_01","09_hamilton_federalist_09","burrows_delta","1.1921724900"
"01_hamilton_federalist_01","10_madison_federalist_10","burrows_delta","1.2580993774"
"01_hamilton_federalist_01","14_madison_federalist_14","burrows_delta","1.0380473164"
"01_hamilton_federalist_01","39_madison_federalist_39","burrows_delta","1.2261345325"
"06_hamilton_federalist_06","01_hamilton_federalist_01","burrows_delta","1.2627629394"
"06_hamilton_federalist_06","06_hamilton_federalist_06","burrows_delta","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","burrows_delta","0.9244062612"
"06_hamilton_federalist_06","10_madison_federalist_10","burrows_delta","1.1698164266"
"06_hamilton_federalist_06","14_madison_federalist_14","burrows_delta","1.1546588267"
"06_hamilton_federalist_06","39_madison_federalist_39","burrows_delta","1.2529453632"
"09_hamilton_federalist_09","01_hamilton_federalist_01","burrows_delta","1.1921724900"
"09_hamilton_federalist_09","06_hamilton_federalist_06","burrows_delta","0.9244062612"
"09_hamilton_federalist_09","09_hamilton_federalist_09","burrows_delta","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","burrows_delta","1.1843096677"
"09_hamilton_federalist_09","14_madison_federalist_14","burrows_delta","1.0447247673"
"09_hamilton_federalist_09","39_madison_federalist_39","burrows_delta","1.0890966244"
"10_madison_federalist_10","01_hamilton_federalist_01","burrows_delta","1.2580993774"
"10_madison_federalist_10","06_hamilton_federalist_06","burrows_delta","1.1698164266"
"10_madison_federalist_10","09_hamilton_federalist_09","burrows_delta","1.1843096677"
"10_madison_federalist_10","10_madison_federalist_10","burrows_delta","0.0000000000"
"10_madison_federalist_10","14_madison_federalist_14","burrows_delta","1.1551143421"
"10_madison_federalist_10","39_madison_federalist_39","burrows_delta","1.0166554641"
"14_madison_federalist_14","01_hamilton_federalist_01","burrows_delta","1.0380473164"
"14_madison_federalist_14","06_hamilton_federalist_06","burrows_delta","1.1546588267"
"14_madison_federalist_14","09_hamilton_federalist_09","burrows_delta","1.0447247673"
"14_madison_federalist_14","10_madison_federalist_10","burrows_delta","1.1551143421"
"14_madison_federalist_14","14_madison_federalist_14","burrows_delta","0.0000000000"
"14_madison_federalist_14","39_madison_federalist_39","burrows_delta","1.0745776265"
"39_madison_federalist_39","01_hamilton_federalist_01","burrows_delta","1.2261345325"
"39_madison_federalist_39","06_hamilton_federalist_06","burrows_delta","1.2529453632"
"39_madison_federalist_39","09_hamilton_federalist_09","burrows_delta","1.0890966244"
"39_madison_federalist_39","10_madison_federalist_10","burrows_delta","1.0166554641"
"39_madison_federalist_39","14_madison_federalist_14","burrows_delta","1.0745776265"
"39_madison_federalist_39","39_madison_federalist_39","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","01_hamilton_federalist_01","cosine_distance","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","cosine_distance","0.0478512952"
"01_hamilton_federalist_01","09_hamilton_federalist_09","cosine_distance","0.0292289351"
"01_hamilton_federalist_01","10_madison_federalist_10","cosine_distance","0.0387952528"
"01_hamilton_federalist_01","14_madison_federalist_14","cosine_distance","0.0226409796"
"01_hamilton_federalist_01","39_madison_federalist_39","cosine_distance","0.0452068714"
"06_hamilton_federalist_06","01_hamilton_federalist_01","cosine_distance","0.0478512952"
"06_hamilton_federalist_06","06_hamilton_federalist_06","cosine_distance","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","cosine_distance","0.0174836470"
"06_hamilton_federalist_06","10_madison_federalist_10","cosine_distance","0.0395039275"
"06_hamilton_federalist_06","14_madison_federalist_14","cosine_distance","0.0391725017"
"06_hamilton_federalist_06","39_madison_federalist_39","cosine_distance","0.0527863604"
"09_hamilton_federalist_09","01_hamilton_federalist_01","cosine_distance","0.0292289351"
"09_hamilton_federalist_09","06_hamilton_federalist_06","cosine_distance","0.0174836470"
"09_hamilton_federalist_09","09_hamilton_federalist_09","cosine_distance","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","cosine_distance","0.0436867963"
"09_hamilton_federalist_09","14_madison_federalist_14","cosine_distance","0.0291704280"
"09_hamilton_federalist_09","39_madison_federalist_39","cosine_distance","0.0435487015"
"10_madison_federalist_10","01_hamilton_federalist_01","cosine_distance","0.0387952528"
"10_madison_federalist_10","06_hamilton_federalist_06","cosine_distance","0.0395039275"
"10_madison_federalist_10","09_hamilton_federalist_09","cosine_distance","0.0436867963"
"10_madison_federalist_10","10_madison_federalist_10","cosine_distance","0.0000000000"
"10_madison_federalist_10","14_madison_federalist_14","cosine_distance","0.0203226980"
"10_madison_federalist_10","39_madison_federalist_39","cosine_distance","0.0277235416"
"14_madison_federalist_14","01_hamilton_federalist_01","cosine_distance","0.0226409796"
"14_madison_federalist_14","06_hamilton_federalist_06","cosine_distance","0.0391725017"
"14_madison_federalist_14","09_hamilton_federalist_09","cosine_distance","0.0291704280"
"14_madison_federalist_14","10_madison_federalist_10","cosine_distance","0.0203226980"
"14_madison_federalist_14","14_madison_federalist_14","cosine_distance","0.0000000000"
"14_madison_federalist_14","39_madison_federalist_39","cosine_distance","0.0195008680"
"39_madison_federalist_39","01_hamilton_federalist_01","cosine_distance","0.0452068714"
"39_madison_federalist_39","06_hamilton_federalist_06","cosine_distance","0.0527863604"
"39_madison_federalist_39","09_hamilton_federalist_09","cosine_distance","0.0435487015"
"39_madison_federalist_39","10_madison_federalist_10","cosine_distance","0.0277235416"
"39_madison_federalist_39","14_madison_federalist_14","cosine_distance","0.0195008680"
"39_madison_federalist_39","39_madison_federalist_39","cosine_distance","0.0000000000"
