"doc_a","doc_b","metric","value"
"01_hamilton_federalist_01","01_hamilton_federalist_01","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","burrows_delta","1.2052724659"
"01_hamilton_federalist_01","09_hamilton_federalist_09","burrows_delta","1.0930402331"
"01_hamilton_federalist_01","10_madison_federalist_10","burrows_delta","1.1104687188"
"01_hamilton_federalist_01","14_madison_federalist_14","burrows_delta","1.0381703732"
"01_hamilton_federalist_01","39_madison_federalist_39","burrows_delta","1.3302970941"
"06_hamilton_federalist_06","01_hamilton_federalist_01","burrows_delta","1.2052724659"
"06_hamilton_federalist_06","06_hamilton_federalist_06","burrows_delta","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","burrows_delta","1.1267148824"
"06_hamilton_federalist_06","10_madison_federalist_10","burrows_delta","1.2009398021"
"06_hamilton_federalist_06","14_madison_federalist_14","burrows_delta","1.2398575396"
"06_hamilton_federalist_06","39_madison_federalist_39","burrows_delta","1.3647018007"
"09_hamilton_federalist_09","01_hamilton_federalist_01","burrows_delta","1.0930402331"
"09_hamilton_federalist_09","06_hamilton_federalist_06","burrows_delta","1.1267148824"
"09_hamilton_federalist_09","09_hamilton_federalist_09","burrows_delta","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","burrows_delta","1.1919961016"
"09_hamilton_federalist_09","14_madison_federalist_14","burrows_delta","1.0694749088"
"09_hamilton_federalist_09","39_madison_federalist_39","burrows_delta","1.1092149888"
"10_madison_federalist_10","01_hamilton_federalist_01","burrows_delta","1.1104687188"
"10_madison_federalist_10","06_hamilton_federalist_06","burrows_delta","1.2009398021"
"10_madison_federalist_10","09_hamilton_federalist_09","burrows_delta","1.1919961016"
"10_madison_federalist_10","10_madison_federalist_10","burrows_delta","0.0000000000"
"10_madison_federalist_10","14_madison_federalist_14","burrows_delta","1.0489878719"
"10_madison_federalist_10","39_madison_federalist_39","burrows_delta","1.3326893219"
"14_madison_federalist_14","01_hamilton_federalist_01","burrows_delta","1.0381703732"
"14_madison_federalist_14","06_hamilton_federalist_06","burrows_delta","1.2398575396"
"14_madison_federalist_14","09_hamilton_federalist_09","burrows_delta","1.0694749088"
"14_madison_federalist_14","10_madison_federalist_10","burrows_delta","1.0489878719"
"14_madison_federalist_14","14_madison_federalist_14","burrows_delta","0.0000000000"
"14_madison_federalist_14","39_madison_federalist_39","burrows_delta","1.2388372084"
"39_madison_federalist_39","01_hamilton_federalist_01","burrows_delta","1.3302970941"
"39_madison_federalist_39","06_hamilton_federalist_06","burrows_delta","1.3647018007"
"39_madison_federalist_39","09_hamilton_federalist_09","burrows_delta","1.1092149888"
"39_madison_federalist_39","10_madison_federalist_10","burrows_delta","1.3326893219"
"39_madison_federalist_39","14_madison_federalist_14","burrows_delta","1.2388372084"
"39_madison_federalist_39","39_madison_federalist_39","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","01_hamilton_federalist_01","cosine_distance","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","cosine_distance","0.0313334046"
"01_hamilton_federalist_01","09_hamilton_federalist_09","cosine_distance","0.0215784255"
"01_hamilton_federalist_01","10_madison_federalist_10","cosine_distance","0.0283823924"
"01_hamilton_federalist_01","14_madison_federalist_14","cosine_distance","0.0217499923"
"01_hamilton_federalist_01","39_madison_federalist_39","cosine_distance","0.0374110303"
"06_hamilton_federalist_06","01_hamilton_federalist_01","cosine_distance","0.0313334046"
"06_hamilton_federalist_06","06_hamilton_federalist_06","cosine_distance","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","cosine_distance","0.0248996729"
"06_hamilton_federalist_06","10_madison_federalist_10","cosine_distance","0.0322226347"
"06_hamilton_federalist_06","14_madison_federalist_14","cosine_distance","0.0320605497"
"06_hamilton_federalist_06","39_madison_federalist_39","cosine_distance","0.0455096290"
"09_hamilton_federalist_09","01_hamilton_federalist_01","cosine_distance","0.0215784255"
"09_hamilton_federalist_09","06_hamilton_federalist_06","cosine_distance","0.0248996729"
"09_hamilton_federalist_09","09_hamilton_federalist_09","cosine_distance","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","cosine_distance","0.0357154039"
"09_hamilton_federalist_09","14_madison_federalist_14","cosine_distance","0.0259280660"
"09_hamilton_federalist_09","39_madison_federalist_39","cosine_distance","0.0281434188"
"10_madison_federalist_10","01_hamilton_federalist_01","cosine_distance","0.0283823924"
"10_madison_federalist_10","06_hamilton_federalist_06","cosine_distance","0.0322226347"
"10_madison_federalist_10","09_hamilton_federalist_09","cosine_distance","0.0357154039"
"10_madison_federalist_10","10_madison_federalist_10","cosine_distance","0.0000000000"
"10_madison_federalist_10","14_madison_federalist_14","cosine_distance","0.0258221454"
"10_madison_federalist_10","39_madison_federalist_39","cosine_distance","0.0408221940"
"14_madison_federalist_14","01_hamilton_federalist_01","cosine_distance","0.0217499923"
"14_madison_federalist_14","06_hamilton_federalist_06","cosine_distance","0.0320605497"
"14_madison_federalist_14","09_hamilton_federalist_09","cosine_distance","0.0259280660"
"14_madison_federalist_14","10_madison_federalist_10","cosine_distance","0.0258221454"
"14_madison_federalist_14","14_madison_federalist_14","cosine_distance","0.0000000000"
"14_madison_federalist_14","39_madison_federalist_39","cosine_distance","0.0295308869"
"39_madison_federalist_39","01_hamilton_federalist_01","cosine_distance","0.0374110303"
"39_madison_federalist_39","06_hamilton_federalist_06","cosine_distance","0.0455096290"
"39_madison_federalist_39","09_hamilton_federalist_09","cosine_distance","0.0281434188"
"39_madison_federalist_39","10_madison_federalist_10","cosine_distance","0.0408221940"
"39_madison_federalist_39","14_madison_federalist_14","cosine_distance","0.0295308869"
"39_madison_federalist_39","39_madison_federalist_39","cosine_distance","0.0000000000"
