"doc_a","doc_b","metric","value"
"01_hamilton_federalist_01","01_hamilton_federalist_01","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","burrows_delta","1.2233585203"
"01_hamilton_federalist_01","09_hamilton_federalist_09","burrows_delta","1.1027041218"
"01_hamilton_federalist_01","10_madison_federalist_10","burrows_delta","1.1771985472"
"01_hamilton_federalist_01","14_madison_federalist_14","burrows_delta","1.0871662986"
"01_hamilton_federalist_01","39_madison_federalist_39","burrows_delta","1.3617312484"
"06_hamilton_federalist_06","01_hamilton_federalist_01","burrows_delta","1.2233585203"
"06_hamilton_federalist_06","06_hamilton_federalist_06","burrows_delta","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","burrows_delta","1.1125751035"
"06_hamilton_federalist_06","10_madison_federalist_10","burrows_delta","1.0986966869"
"06_hamilton_federalist_06","14_madison_federalist_14","burrows_delta","1.1595556814"
"06_hamilton_federalist_06","39_madison_federalist_39","burrows_delta","1.2847243345"
"09_hamilton_federalist_09","01_hamilton_federalist_01","burrows_delta","1.1027041218"
"09_hamilton_federalist_09","06_hamilton_federalist_06","burrows_delta","1.1125751035"
"09_hamilton_federalist_09","09_hamilton_federalist_09","burrows_delta","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","burrows_delta","1.1569844199"
"09_hamilton_federalist_09","14_madison_federalist_14","burrows_delta","1.0652038232"
"09_hamilton_federalist_09","39_madison_federalist_39","burrows_delta","1.3169077428"
"10_madison_federalist_10","01_hamilton_federalist_01","burrows_delta","1.1771985472"
"10_madison_federalist_10","06_hamilton_federalist_06","burrows_delta","1.0986966869"
"10_madison_federalist_10","09_hamilton_federalist_09","burrows_delta","1.1569844199"
"10_madison_federalist_10","10_madison_federalist_10","burrows_delta","0.0000000000"
"10_madison_federalist_10","14_madison_federalist_14","burrows_delta","1.0462764121"
"10_madison_federalist_10","39_madison_federalist_39","burrows_delta","1.2863763069"
"14_madison_federalist_14","01_hamilton_federalist_01","burrows_delta","1.0871662986"
"14_madison_federalist_14","06_hamilton_federalist_06","burrows_delta","1.1595556814"
"14_madison_federalist_14","09_hamilton_federalist_09","burrows_delta","1.0652038232"
"14_madison_federalist_14","10_madison_federalist_10","burrows_delta","1.0462764121"
"14_madison_federalist_14","14_madison_federalist_14","burrows_delta","0.0000000000"
"14_madison_federalist_14","39_madison_federalist_39","burrows_delta","1.1735424867"
"39_madison_federalist_39","01_hamilton_federalist_01","burrows_delta","1.3617312484"
"39_madison_federalist_39","06_hamilton_federalist_06","burrows_delta","1.2847243345"
"39_madison_federalist_39","09_hamilton_federalist_09","burrows_delta","1.3169077428"
"39_madison_federalist_39","10_madison_federalist_10","burrows_delta","1.2863763069"
"39_madison_federalist_39","14_madison_federalist_14","burrows_delta","1.1735424867"
"39_madison_federalist_39","39_madison_federalist_39","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","01_hamilton_federalist_01","cosine_distance","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","cosine_distance","0.0597267680"
"01_hamilton_federalist_01","09_hamilton_federalist_09","cosine_distance","0.0520181904"
"01_hamilton_federalist_01","10_madison_federalist_10","cosine_distance","0.1077421653"
"01_hamilton_federalist_01","14_madison_federalist_14","cosine_distance","0.0533168332"
"01_hamilton_federalist_01","39_madison_federalist_39","cosine_distance","0.0843784817"
"06_hamilton_federalist_06","01_hamilton_federalist_01","cosine_distance","0.0597267680"
"06_hamilton_federalist_06","06_hamilton_federalist_06","cosine_distance","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","cosine_distance","0.0413409720"
"06_hamilton_federalist_06","10_madison_federalist_10","cosine_distance","0.0790967596"
"06_hamilton_federalist_06","14_madison_federalist_14","cosine_distance","0.0643441859"
"06_hamilton_federalist_06","39_madison_federalist_39","cosine_distance","0.0839079272"
"09_hamilton_federalist_09","01_hamilton_federalist_01","cosine_distance","0.0520181904"
"09_hamilton_federalist_09","06_hamilton_federalist_06","cosine_distance","0.0413409720"
"09_hamilton_federalist_09","09_hamilton_federalist_09","cosine_distance","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","cosine_distance","0.0734073806"
"09_hamilton_federalist_09","14_madison_federalist_14","cosine_distance","0.0396023304"
"09_hamilton_federalist_09","39_madison_federalist_39","cosine_distance","0.0780408707"
"10_madison_federalist_10","01_hamilton_federalist_01","cosine_distance","0.1077421653"
