"doc_a","doc_b","metric","value"
"01_hamilton_federalist_01","01_hamilton_federalist_01","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","burrows_delta","1.1994561094"
"01_hamilton_federalist_01","09_hamilton_federalist_09","burrows_delta","1.1543340976"
"01_hamilton_federalist_01","10_madison_federalist_10","burrows_delta","1.3381798372"
"01_hamilton_federalist_01","14_madison_federalist_14","burrows_delta","1.0389598234"
"01_hamilton_federalist_01","39_madison_federalist_39","burrows_delta","1.2793918759"
"06_hamilton_federalist_06","01_hamilton_federalist_01","burrows_delta","1.1994561094"
"06_hamilton_federalist_06","06_hamilton_federalist_06","burrows_delta","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","burrows_delta","0.9154395107"
"06_hamilton_federalist_06","10_madison_federalist_10","burrows_delta","1.1833999783"
"06_hamilton_federalist_06","14_madison_federalist_14","burrows_delta","1.2034896020"
"06_hamilton_federalist_06","39_madison_federalist_39","burrows_delta","1.2551046460"
"09_hamilton_federalist_09","01_hamilton_federalist_01","burrows_delta","1.1543340976"
"09_hamilton_federalist_09","06_hamilton_federalist_06","burrows_delta","0.9154395107"
"09_hamilton_federalist_09","09_hamilton_federalist_09","burrows_delta","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","burrows_delta","1.2299871011"
"09_hamilton_federalist_09","14_madison_federalist_14","burrows_delta","0.9926178127"
"09_hamilton_federalist_09","39_madison_federalist_39","burrows_delta","1.1284157708"
"10_madison_federalist_10","01_hamilton_federalist_01","burrows_delta","1.3381798372"
"10_madison_federalist_10","06_hamilton_federalist_06","burrows_delta","1.1833999783"
"10_madison_federalist_10","09_hamilton_federalist_09","burrows_delta","1.2299871011"
"10_madison_federalist_10","10_madison_federalist_10","burrows_delta","0.0000000000"
"10_madison_federalist_10","14_madison_federalist_14","burrows_delta","1.1410739627"
"10_madison_federalist_10","39_madison_federalist_39","burrows_delta","1.2379933168"
"14_madison_federalist_14","01_hamilton_federalist_01","burrows_delta","1.0389598234"
"14_madison_federalist_14","06_hamilton_federalist_06","burrows_delta","1.2034896020"
"14_madison_federalist_14","09_hamilton_federalist_09","burrows_delta","0.9926178127"
"14_madison_federalist_14","10_madison_federalist_10","burrows_delta","1.1410739627"
"14_madison_federalist_14","14_madison_federalist_14","burrows_delta","0.0000000000"
"14_madison_federalist_14","39_madison_federalist_39","burrows_delta","1.1590407950"
"39_madison_federalist_39","01_hamilton_federalist_01","burrows_delta","1.2793918759"
"39_madison_federalist_39","06_hamilton_federalist_06","burrows_delta","1.2551046460"
"39_madison_federalist_39","09_hamilton_federalist_09","burrows_delta","1.1284157708"
"39_madison_federalist_39","10_madison_federalist_10","burrows_delta","1.2379933168"
"39_madison_federalist_39","14_madison_federalist_14","burrows_delta","1.1590407950"
"39_madison_federalist_39","39_madison_federalist_39","burrows_delta","0.0000000000"
"01_hamilton_federalist_01","01_hamilton_federalist_01","cosine_distance","0.0000000000"
"01_hamilton_federalist_01","06_hamilton_federalist_06","cosine_distance","0.0520276469"
"01_hamilton_federalist_01","09_hamilton_federalist_09","cosine_distance","0.0328153367"
"01_hamilton_federalist_01","10_madison_federalist_10","cosine_distance","0.0447781686"
"01_hamilton_federalist_01","14_madison_federalist_14","cosine_distance","0.0260720951"
"01_hamilton_federalist_01","39_madison_federalist_39","cosine_distance","0.0537212144"
"06_hamilton_federalist_06","01_hamilton_federalist_01","cosine_distance","0.0520276469"
"06_hamilton_federalist_06","06_hamilton_federalist_06","cosine_distance","0.0000000000"
"06_hamilton_federalist_06","09_hamilton_federalist_09","cosine_distance","0.0216954031"
"06_hamilton_federalist_06","10_madison_federalist_10","cosine_distance","0.0473592068"
"06_hamilton_federalist_06","14_madison_federalist_14","cosine_distance","0.0438693902"
"06_hamilton_federalist_06","39_madison_federalist_39","cosine_distance","0.0630915750"
"09_hamilton_federalist_09","01_hamilton_federalist_01","cosine_distance","0.0328153367"
"09_hamilton_federalist_09","06_hamilton_federalist_06","cosine_distance","0.0216954031"
"09_hamilton_federalist_09","09_hamilton_federalist_09","cosine_distance","0.0000000000"
"09_hamilton_federalist_09","10_madison_federalist_10","cosine_distance","0.0515634089"
"09_hamilton_federalist_09","14_madison_federalist_14","cosine_distance","0.0318817035"
"09_hamilton_federalist_09","39_madison_federalist_39","cosine_distance","0.0492142824"
"10_madison_federalist_10","01_hamilton_federalist_01","cosine_distance","0.0447781686"
"10_madison_federalist_10","06_hamilton_federalist_06","cosine_distance","0.0473592068"
"10_madison_federalist_10","09_hamilton_federalist_09","cosine_distance","0.0515634089"
"10_madison_federalist_10","10_madison_federalist_10","cosine_distance","0.0000000000"
"10_madison_federalist_10","14_madison_federalist_14","cosine_distance","0.0264103164"
